district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
1,45,0,2,3,351,1,0,0,2300000
9,14,0,2,5,298,1,0,10,1750000
1,12,0,4,2,90,1,0,14,590000
1,45,0,2,2,130,1,0,0,450000
3,0,0,7,3,110,0,0,17,430000
1,35,0,4,5,161,1,0,14,690000
1,53,0,1,2,110,0,0,0,395000
1,51,0,2,3,106,1,0,0,595000
4,8,0,2,2,62,1,0,12,450000
0,17,0,2,5,152,1,0,12,665000
3,36,0,2,3,83,1,0,7,270000
1,42,0,2,2,80,1,0,0,690000
1,42,0,2,2,80,1,0,10,630000
9,14,0,2,3,132,1,0,0,790000
7,39,0,2,1,41,0,0,0,177000
4,62,0,2,2,80,1,0,0,375000
9,15,0,2,5,170,1,0,10,950000
4,8,0,2,3,110,1,0,15,800000
8,38,0,2,3,65,0,0,0,169000
0,26,0,2,3,194,1,0,7,840000
2,61,0,2,3,79,0,0,18,329000
7,39,0,2,3,168,1,0,9,1090000
6,34,0,2,2,64,1,0,0,185000
7,60,0,2,3,130,1,0,19,695000
7,60,0,2,3,111,1,0,11,586000
7,16,0,2,4,83,1,0,10,239000
1,45,0,4,3,120,1,0,13,790000
1,12,0,2,5,181,1,0,7,995000
1,53,0,2,4,94,1,0,0,420000
7,39,0,2,3,195,1,0,10,640000
0,26,0,4,2,108,1,0,13,649000
9,14,0,2,4,169,1,0,0,775000
7,32,0,2,4,93,1,0,13,340000
1,12,0,2,4,140,1,0,12,495000
7,30,0,2,4,102,1,0,10,345000
0,26,0,2,3,174,1,0,0,950000
8,44,0,0,4,239,0,0,17,690000
1,45,0,4,3,153,1,0,16,1495000
0,26,0,2,3,144,1,0,0,650000
1,42,0,2,4,124,1,0,10,530000
9,14,0,2,3,115,1,0,7,660000
1,45,0,2,3,131,1,0,13,560000
1,45,0,1,2,100,1,0,12,800000
1,45,0,2,3,115,1,0,10,990000
9,14,0,2,5,277,1,0,12,1900000
2,29,0,2,3,104,1,0,0,470000
7,39,0,2,2,71,1,1,7,370000
8,38,0,2,4,228,1,1,18,650000
9,14,0,2,3,160,1,0,14,880000
9,20,0,3,5,380,0,0,17,1750000
9,15,0,0,6,585,0,0,17,2350000
1,45,0,2,7,271,1,0,0,1800000
1,42,0,2,2,82,1,0,10,380000
1,45,0,2,3,175,1,0,11,1600000
0,26,0,2,2,84,1,0,10,475000
1,42,0,2,1,63,1,0,0,335000
1,45,0,4,4,189,1,0,14,1175000
9,14,0,2,3,150,1,0,18,780000
3,31,0,2,3,50,1,0,19,135000
4,50,0,4,3,130,1,0,16,530000
1,45,0,1,3,223,1,0,15,1995000
1,45,0,1,3,153,1,0,15,1495000
1,53,0,2,3,85,1,0,7,339000
9,14,0,2,5,160,1,0,11,850000
1,51,0,2,2,120,1,0,10,575000
4,8,0,2,4,206,1,0,2,1250000
9,15,0,2,4,232,1,0,7,1175000
9,14,0,2,4,203,1,0,0,1095000
1,45,0,2,1,59,1,0,11,480000
1,12,0,4,4,167,1,0,13,695000
4,8,0,2,5,232,1,0,7,1660000
1,45,0,1,4,800,1,0,18,1700000
0,17,0,2,2,86,0,0,18,298000
9,40,0,2,4,105,1,0,7,425000
0,41,0,2,3,145,1,0,0,680000
9,14,0,2,5,155,1,0,11,875000
1,45,0,2,3,148,1,0,10,995000
1,42,0,2,4,102,1,0,10,440000
9,14,0,2,5,250,1,0,7,1100000
1,42,0,2,2,101,1,0,10,625000
4,50,0,2,3,100,1,0,7,385000
0,26,0,4,2,88,1,0,11,710000
1,51,0,2,1,77,1,0,0,260000
1,51,0,2,3,87,1,0,12,399000
7,32,0,2,1,60,1,0,0,179000
9,22,0,0,4,243,0,0,17,650000
1,35,0,2,3,118,1,0,7,445000
9,40,0,6,5,311,0,0,17,960000
9,64,0,2,3,118,1,0,7,795000
1,42,0,2,3,72,1,0,12,450000
0,17,0,2,3,68,0,0,10,233150
1,51,0,2,3,87,1,0,12,365000
1,42,0,2,2,90,1,0,0,690000
9,22,0,0,5,380,0,0,17,830000
9,14,0,2,4,225,1,0,13,1100000
7,27,0,2,3,94,1,0,14,359000
9,20,0,3,6,296,0,0,17,1350000
0,26,0,2,1,81,0,0,19,430000
3,46,0,5,5,161,0,0,17,490000
9,14,0,4,3,140,1,0,12,1050000
9,14,0,2,4,134,1,0,11,595000
0,17,0,2,1,86,1,0,11,390000
4,62,0,2,4,170,1,0,0,668000
9,40,0,1,3,197,1,0,7,800000
9,14,0,4,4,145,1,0,12,760000
4,50,0,1,3,170,1,0,18,490000
1,53,0,2,4,101,1,1,10,309000
3,46,0,2,4,122,0,0,7,449000
1,45,0,4,2,213,1,0,14,1500000
9,14,0,2,4,105,1,0,7,630000
1,45,0,2,3,318,1,0,11,2500000
1,12,0,2,3,80,1,0,7,365000
7,10,0,2,4,90,1,0,11,370000
1,51,0,2,4,109,1,0,14,475000
1,42,0,2,3,110,1,0,10,645000
1,35,0,2,4,97,1,0,7,495000
1,12,0,4,3,101,1,0,12,480000
2,29,0,2,3,130,1,0,19,630000
2,21,0,6,4,364,0,0,17,1149000
9,20,0,6,5,465,0,0,17,3370000
4,62,0,2,3,88,1,0,7,389000
2,29,0,2,4,85,1,0,13,375000
1,51,0,2,3,113,1,0,19,378000
1,51,0,2,3,108,1,0,19,375000
8,44,0,2,4,90,1,0,10,279500
4,62,0,2,2,134,1,0,0,670000
9,20,0,2,4,217,1,0,11,1150000
4,62,0,2,3,121,1,0,13,1454000
4,62,0,2,3,95,1,0,12,1082000
1,42,0,2,3,125,1,0,12,690000
1,51,0,2,2,71,1,0,10,348000
9,40,0,2,3,90,0,0,18,490000
1,42,0,2,3,90,1,0,10,760000
1,42,0,2,2,148,1,0,19,1325000
